id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
75,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,20,HEKTAR,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,7,HEKTAR,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,1,HEKTAR,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,23,HEKTAR,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,309,HEKTAR,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,584,HEKTAR,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,15384,HEKTAR,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,13321,HEKTAR,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12014,HEKTAR,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,82160,HEKTAR,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,16460,HEKTAR,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,6562,HEKTAR,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2770,HEKTAR,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,295,HEKTAR,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,17826,HEKTAR,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10786,HEKTAR,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2121,HEKTAR,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,386,HEKTAR,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1117,HEKTAR,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,953,HEKTAR,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,4,HEKTAR,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4837,HEKTAR,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1031,HEKTAR,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,9,HEKTAR,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,21,HEKTAR,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,6,HEKTAR,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,1,HEKTAR,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,152,HEKTAR,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,737,HEKTAR,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,287,HEKTAR,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,24484,HEKTAR,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7130,HEKTAR,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,14478,HEKTAR,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,67293,HEKTAR,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8419,HEKTAR,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5150,HEKTAR,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3232,HEKTAR,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,135,HEKTAR,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18922,HEKTAR,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,22429,HEKTAR,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,455,HEKTAR,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,304,HEKTAR,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1017,HEKTAR,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,421,HEKTAR,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,2,HEKTAR,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5323,HEKTAR,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,589,HEKTAR,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,34,HEKTAR,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,19,HEKTAR,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,6,HEKTAR,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,2,HEKTAR,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,62,HEKTAR,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,431,HEKTAR,2019
