id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_jagung,satuan,tahun
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,102104,TON,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,103566,TON,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,83410,TON,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,666963,TON,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,106617,TON,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,41676,TON,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,17666,TON,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,2338,TON,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,139647,TON,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,83005,TON,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,17004,TON,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,1985,TON,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7217,TON,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6531,TON,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,24,TON,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34877,TON,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5788,TON,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,65,TON,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,101,TON,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,30,TON,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,6,TON,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,697,TON,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,3143,TON,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,1328,TON,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,160393,TON,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,45695,TON,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,104622,TON,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,519446,TON,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,50784,TON,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,37454,TON,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,23119,TON,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,1061,TON,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,142779,TON,2019
