id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_jagung,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,44.44,KUINTAL PER HEKTAR,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,62.86,KUINTAL PER HEKTAR,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,74.72,KUINTAL PER HEKTAR,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,49.86,KUINTAL PER HEKTAR,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,83.02,KUINTAL PER HEKTAR,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,63.81,KUINTAL PER HEKTAR,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,62.36,KUINTAL PER HEKTAR,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,79.0,KUINTAL PER HEKTAR,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,77.31,KUINTAL PER HEKTAR,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,75.95,KUINTAL PER HEKTAR,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,73.35,KUINTAL PER HEKTAR,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,68.43,KUINTAL PER HEKTAR,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,45.75,KUINTAL PER HEKTAR,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,54.26,KUINTAL PER HEKTAR,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,53.64,KUINTAL PER HEKTAR,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,60.0,KUINTAL PER HEKTAR,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,44.37,KUINTAL PER HEKTAR,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,34.26,KUINTAL PER HEKTAR,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,64.38,KUINTAL PER HEKTAR,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,68.85,KUINTAL PER HEKTAR,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,KUINTAL PER HEKTAR,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,20.0,KUINTAL PER HEKTAR,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,32.12,KUINTAL PER HEKTAR,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,0.0,KUINTAL PER HEKTAR,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,KUINTAL PER HEKTAR,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,45.0,KUINTAL PER HEKTAR,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,50.48,KUINTAL PER HEKTAR,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,60.07,KUINTAL PER HEKTAR,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,65.95,KUINTAL PER HEKTAR,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,77.56,KUINTAL PER HEKTAR,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,77.6,KUINTAL PER HEKTAR,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,89.58,KUINTAL PER HEKTAR,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,67.82,KUINTAL PER HEKTAR,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,86.02,KUINTAL PER HEKTAR,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,76.42,KUINTAL PER HEKTAR,2016
