id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_areal_tanam,satuan,tahun
75,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,20,HEKTAR,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,32,HEKTAR,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,27,HEKTAR,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,17,HEKTAR,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,317,HEKTAR,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,800,HEKTAR,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,16519,HEKTAR,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14398,HEKTAR,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11620,HEKTAR,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,82160,HEKTAR,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,17266,HEKTAR,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,6837,HEKTAR,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2820,HEKTAR,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,5087,HEKTAR,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,17743,HEKTAR,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11234,HEKTAR,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3783,HEKTAR,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,687,HEKTAR,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1353,HEKTAR,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,907,HEKTAR,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,4,HEKTAR,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5087,HEKTAR,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1094,HEKTAR,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,9,HEKTAR,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,19,HEKTAR,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,14,HEKTAR,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,24,HEKTAR,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,157,HEKTAR,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,740,HEKTAR,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,399,HEKTAR,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,26122,HEKTAR,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7902,HEKTAR,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,14518,HEKTAR,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,67463,HEKTAR,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9082,HEKTAR,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5253,HEKTAR,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3282,HEKTAR,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,5575,HEKTAR,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,19690,HEKTAR,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,22714,HEKTAR,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,475,HEKTAR,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,910,HEKTAR,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1185,HEKTAR,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,447,HEKTAR,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,2,HEKTAR,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5369,HEKTAR,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,591,HEKTAR,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,32,HEKTAR,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,18,HEKTAR,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,15,HEKTAR,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,21,HEKTAR,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,57,HEKTAR,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,420,HEKTAR,2019
